# Energy(MeV) Fluence_Sferica_Median
7.378856e+02 4.896880e+03
7.472906e+02 4.697666e+03
7.568154e+02 4.506547e+03
7.664616e+02 4.323091e+03
7.762308e+02 4.147318e+03
7.861245e+02 3.978971e+03
7.961443e+02 3.818699e+03
8.062918e+02 3.665791e+03
8.165687e+02 3.517802e+03
8.269765e+02 3.375578e+03
8.375170e+02 3.240379e+03
8.481918e+02 3.109445e+03
8.590027e+02 2.982912e+03
8.699514e+02 2.861432e+03
8.810396e+02 2.744783e+03
8.922692e+02 2.632615e+03
9.036419e+02 2.525032e+03
9.151595e+02 2.421947e+03
9.268240e+02 2.323108e+03
9.386371e+02 2.228590e+03
9.506008e+02 2.138737e+03
9.627170e+02 2.052150e+03
9.749876e+02 1.969991e+03
9.874146e+02 1.891251e+03
1.000000e+03 1.815017e+03
