Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
1.5740e+01	3.4442e+06	3.0130e+04
1.5922e+01	3.3679e+06	3.0265e+04
1.6107e+01	3.2924e+06	3.0402e+04
1.6294e+01	3.2201e+06	3.0539e+04
1.6483e+01	3.1493e+06	3.0677e+04
1.6674e+01	3.0795e+06	3.0807e+04
1.6867e+01	3.0118e+06	3.0937e+04
1.7063e+01	2.9456e+06	3.1077e+04
1.7261e+01	2.8824e+06	3.1217e+04
1.7461e+01	2.8201e+06	3.1359e+04
1.7664e+01	2.7590e+06	3.1502e+04
1.7868e+01	2.6993e+06	3.1645e+04
1.8076e+01	2.6411e+06	3.1790e+04
1.8285e+01	2.5843e+06	3.1935e+04
1.8497e+01	2.5286e+06	3.2082e+04
1.8712e+01	2.4742e+06	3.2230e+04
1.8929e+01	2.4209e+06	3.2379e+04
1.9149e+01	2.3690e+06	3.2530e+04
1.9371e+01	2.3178e+06	3.2682e+04
1.9595e+01	2.2673e+06	3.2836e+04
1.9823e+01	2.2179e+06	3.3002e+04
2.0053e+01	2.1695e+06	3.3161e+04
2.0285e+01	2.1225e+06	3.3309e+04
2.0520e+01	2.0774e+06	3.3461e+04
2.0758e+01	2.0329e+06	3.3615e+04
2.0999e+01	1.9894e+06	3.3771e+04
2.1243e+01	1.9468e+06	3.3980e+04
2.1489e+01	1.9053e+06	3.4137e+04
2.1738e+01	1.8644e+06	3.4292e+04
2.1991e+01	1.8245e+06	3.4448e+04
2.2246e+01	1.7850e+06	3.4606e+04
2.2504e+01	1.7460e+06	3.4773e+04
2.2765e+01	1.7092e+06	3.4932e+04
2.3029e+01	1.6732e+06	3.5082e+04
2.3296e+01	1.6375e+06	3.5243e+04
2.3566e+01	1.6017e+06	3.5404e+04
2.3839e+01	1.5667e+06	3.5563e+04
2.4116e+01	1.5336e+06	3.5721e+04
2.4396e+01	1.5006e+06	3.5880e+04
2.4679e+01	1.4679e+06	3.6041e+04
2.4965e+01	1.4366e+06	3.6200e+04
2.5254e+01	1.4058e+06	3.6357e+04
2.5547e+01	1.3757e+06	3.6514e+04
2.5844e+01	1.3464e+06	3.6672e+04
2.6143e+01	1.3177e+06	3.6830e+04
2.6447e+01	1.2889e+06	3.6988e+04
2.6753e+01	1.2614e+06	3.7148e+04
2.7064e+01	1.2340e+06	3.7311e+04
2.7378e+01	1.2071e+06	3.7477e+04
2.7695e+01	1.1810e+06	3.7657e+04
2.8016e+01	1.1554e+06	3.7809e+04
2.8341e+01	1.1309e+06	3.7965e+04
2.8670e+01	1.1069e+06	3.8183e+04
2.9003e+01	1.0836e+06	3.8340e+04
2.9339e+01	1.0608e+06	3.8494e+04
2.9679e+01	1.0382e+06	3.8658e+04
3.0024e+01	1.0156e+06	3.8828e+04
3.0372e+01	9.9345e+05	3.8989e+04
3.0724e+01	9.7198e+05	3.9143e+04
3.1080e+01	9.5126e+05	3.9293e+04
3.1441e+01	9.3097e+05	3.9443e+04
3.1806e+01	9.1088e+05	3.9591e+04
3.2175e+01	8.9122e+05	3.9735e+04
3.2548e+01	8.7197e+05	3.9878e+04
3.2925e+01	8.5341e+05	4.0021e+04
3.3307e+01	8.3519e+05	4.0165e+04
3.3693e+01	8.1706e+05	4.0313e+04
3.4084e+01	7.9961e+05	4.0482e+04
3.4480e+01	7.8253e+05	4.0616e+04
3.4880e+01	7.6563e+05	4.0756e+04
3.5284e+01	7.4896e+05	4.0892e+04
3.5693e+01	7.3264e+05	4.1025e+04
3.6107e+01	7.1660e+05	4.1180e+04
3.6526e+01	7.0123e+05	4.1323e+04
3.6950e+01	6.8623e+05	4.1453e+04
3.7378e+01	6.7155e+05	4.1578e+04
3.7812e+01	6.5699e+05	4.1702e+04
3.8251e+01	6.4272e+05	4.1817e+04
3.8694e+01	6.2876e+05	4.1933e+04
3.9143e+01	6.1509e+05	4.2049e+04
3.9597e+01	6.0176e+05	4.2170e+04
4.0056e+01	5.8882e+05	4.2318e+04
4.0521e+01	5.7616e+05	4.2427e+04
4.0991e+01	5.6388e+05	4.2533e+04
4.1466e+01	5.5191e+05	4.2644e+04
4.1947e+01	5.4007e+05	4.2771e+04
4.2434e+01	5.2845e+05	4.2871e+04
4.2926e+01	5.1691e+05	4.2965e+04
4.3424e+01	5.0554e+05	4.3051e+04
4.3928e+01	4.9443e+05	4.3133e+04
4.4437e+01	4.8356e+05	4.3216e+04
4.4953e+01	4.7293e+05	4.3304e+04
4.5474e+01	4.6262e+05	4.3385e+04
4.6001e+01	4.5257e+05	4.3463e+04
4.6535e+01	4.4268e+05	4.3539e+04
4.7075e+01	4.3299e+05	4.3635e+04
4.7621e+01	4.2351e+05	4.3698e+04
4.8173e+01	4.1446e+05	4.3756e+04
4.8732e+01	4.0551e+05	4.3801e+04
