# Energy(MeV)  Phi_res(p/cm2/MeV)  S(MeV*cm2/g)  Dose(MeV/g)  Dose(Gy)
3.683500e+02 8.685300e+03 2.569179e+00 3.097196e+05 4.961708e-05
3.822300e+02 7.582600e+03 2.521908e+00 2.755570e+05 4.414423e-05
3.966400e+02 6.619500e+03 2.477882e+00 2.450510e+05 3.925717e-05
4.115800e+02 5.778800e+03 2.435057e+00 2.182522e+05 3.496400e-05
4.270900e+02 5.043300e+03 2.394026e+00 1.943881e+05 3.114097e-05
4.431900e+02 4.401100e+03 2.354025e+00 1.730170e+05 2.771732e-05
4.598900e+02 3.841000e+03 2.316022e+00 1.541649e+05 2.469722e-05
4.772200e+02 3.351100e+03 2.278961e+00 1.373137e+05 2.199766e-05
4.952000e+02 2.923600e+03 2.244000e+00 1.224200e+05 1.961169e-05
5.138600e+02 2.550800e+03 2.210072e+00 1.091411e+05 1.748440e-05
5.332200e+02 2.225000e+03 2.177969e+00 9.735576e+04 1.559639e-05
5.533100e+02 1.941000e+03 2.146986e+00 8.688819e+04 1.391949e-05
5.741600e+02 1.692800e+03 2.117057e+00 7.755245e+04 1.242390e-05
5.958000e+02 1.476300e+03 2.089000e+00 6.923559e+04 1.109154e-05
6.182500e+02 1.287600e+03 2.062060e+00 6.186403e+04 9.910618e-06
6.415500e+02 1.122800e+03 2.036056e+00 5.525464e+04 8.851793e-06
6.657200e+02 9.791000e+02 2.010981e+00 4.940099e+04 7.914039e-06
6.908100e+02 8.537100e+02 1.986991e+00 4.415506e+04 7.073641e-06
7.168400e+02 7.444200e+02 1.964968e+00 3.950918e+04 6.329370e-06
7.438500e+02 6.490300e+02 1.943041e+00 3.534840e+04 5.662813e-06
7.718800e+02 5.658700e+02 1.923014e+00 3.165503e+04 5.071136e-06
8.009700e+02 4.933600e+02 1.903030e+00 2.833536e+04 4.539325e-06
8.311500e+02 4.300900e+02 1.884031e+00 2.537869e+04 4.065667e-06
8.624700e+02 3.749500e+02 1.867017e+00 2.275123e+04 3.644748e-06
8.949700e+02 3.268500e+02 1.850016e+00 2.038973e+04 3.266435e-06
9.286900e+02 2.849200e+02 1.834005e+00 1.828906e+04 2.929908e-06
9.636900e+02 2.483700e+02 1.819004e+00 1.640435e+04 2.627978e-06
1.000000e+03 2.164900e+02 1.805000e+00 1.418866e+04 2.273023e-06
