# E(MeV) Phi16 Phi84
2.443598e+02 9.628287e-07 2.339579e+04
2.492580e+02 5.600110e-07 2.207309e+04
2.542544e+02 3.233116e-07 2.087729e+04
2.593509e+02 1.848608e-07 1.972804e+04
2.645495e+02 1.046797e-07 1.863107e+04
2.698524e+02 5.853937e-08 1.756861e+04
2.752616e+02 3.239368e-08 1.657990e+04
2.807792e+02 1.774405e-08 1.563893e+04
2.864074e+02 9.607809e-09 1.477328e+04
2.921484e+02 5.144131e-09 1.398703e+04
2.980045e+02 2.723957e-09 1.324378e+04
3.039780e+02 1.425577e-09 1.249265e+04
3.100712e+02 7.378756e-10 1.178300e+04
3.162865e+02 3.768147e-10 1.115255e+04
3.226265e+02 1.902925e-10 1.052177e+04
3.290935e+02 9.489671e-11 9.934671e+03
3.356901e+02 4.672025e-11 9.374667e+03
3.424190e+02 2.270858e-11 8.850384e+03
3.492828e+02 1.089264e-11 8.355143e+03
3.562841e+02 5.153489e-12 7.886881e+03
3.634258e+02 2.404873e-12 7.439295e+03
3.707107e+02 1.110443e-12 7.027554e+03
3.781415e+02 5.039210e-13 6.638408e+03
3.857213e+02 2.248149e-13 6.275508e+03
3.934531e+02 9.878458e-14 5.927503e+03
4.013398e+02 4.273883e-14 5.595343e+03
4.093847e+02 1.820080e-14 5.285099e+03
4.175907e+02 7.630040e-15 4.993491e+03
4.259613e+02 3.145072e-15 4.716208e+03
4.344997e+02 1.274171e-15 4.451485e+03
4.432092e+02 5.074682e-16 4.203912e+03
4.520933e+02 1.986613e-16 3.969969e+03
4.611555e+02 7.639349e-17 3.748821e+03
4.703993e+02 2.885172e-17 3.538469e+03
4.798284e+02 1.067978e-17 3.330947e+03
4.894465e+02 3.882955e-18 3.139363e+03
4.992574e+02 1.384898e-18 2.959271e+03
5.092650e+02 4.843718e-19 2.794975e+03
5.194732e+02 1.660681e-19 2.639696e+03
5.298860e+02 5.578362e-20 2.492942e+03
5.405075e+02 1.834411e-20 2.354249e+03
5.513420e+02 5.907011e-21 2.219733e+03
5.623936e+02 1.860012e-21 2.089594e+03
5.736667e+02 5.734245e-22 1.972415e+03
5.851658e+02 1.727549e-22 1.862224e+03
5.968954e+02 5.085351e-23 1.757236e+03
6.088601e+02 1.462894e-23 1.654961e+03
6.210647e+02 4.109809e-24 1.561345e+03
6.335139e+02 1.125352e-24 1.472953e+03
6.462126e+02 3.006142e-25 1.389495e+03
6.591659e+02 7.819382e-26 1.310700e+03
6.723788e+02 1.982993e-26 1.236309e+03
6.858566e+02 4.897055e-27 1.165726e+03
6.996046e+02 1.178751e-27 1.099056e+03
7.136281e+02 2.760206e-28 1.035995e+03
7.279327e+02 6.277879e-29 9.766358e+02
7.425240e+02 1.385817e-29 9.218111e+02
7.574079e+02 2.971928e-30 8.687691e+02
7.725901e+02 6.186467e-31 8.203999e+02
7.880766e+02 1.249840e-31 7.736409e+02
