Energy(MeV) Incoming Spectral Fluence(MeV-1 cm-2)   Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03  0.0000e+00	1.1308e+07
6.9081e+02	8.6681e+02	8.5371e+02
7.1684e+02	7.5523e+02	7.4442e+02
7.4385e+02	6.5801e+02	6.4903e+02
7.7188e+02	5.7330e+02	5.6587e+02
8.0097e+02	4.9950e+02	4.9336e+02
8.3115e+02	4.3520e+02	4.3009e+02
8.6247e+02	3.7918e+02	3.7495e+02
8.9497e+02	3.3037e+02	3.2685e+02
9.2869e+02	2.8785e+02	2.8492e+02
9.6369e+02	2.5079e+02	2.4837e+02
1.0000e+03	2.1851e+02	2.1649e+02
