Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
9.5000e+01	6.0810e+00	6.0810e+00	9.7452e-10
9.7260e+01	5.9770e+00	5.9770e+00	9.5785e-10
1.0000e+02	5.8570e+00	5.8570e+00	9.3862e-10
1.0090e+02	5.8170e+00	5.8170e+00	9.3221e-10
1.0470e+02	5.6630e+00	5.6630e+00	9.0753e-10
1.0870e+02	5.5130e+00	5.5130e+00	8.8349e-10
1.1280e+02	5.3680e+00	5.3680e+00	8.6026e-10
1.1700e+02	5.2280e+00	5.2280e+00	8.3782e-10
1.2140e+02	5.0920e+00	5.0920e+00	8.1603e-10
1.2600e+02	4.9610e+00	4.9610e+00	7.9503e-10
1.3080e+02	4.8330e+00	4.8330e+00	7.7452e-10
1.3570e+02	4.7100e+00	4.7100e+00	7.5481e-10
1.4080e+02	4.5910e+00	4.5910e+00	7.3574e-10
1.4610e+02	4.4760e+00	4.4760e+00	7.1731e-10
1.5000e+02	4.3960e+00	4.3960e+00	7.0449e-10
1.5160e+02	4.3640e+00	4.3640e+00	6.9936e-10
1.5730e+02	4.2560e+00	4.2560e+00	6.8205e-10
1.6330e+02	4.1520e+00	4.1520e+00	6.6538e-10
1.6940e+02	4.0510e+00	4.0510e+00	6.4920e-10
1.7580e+02	3.9530e+00	3.9530e+00	6.3349e-10
1.8240e+02	3.8590e+00	3.8590e+00	6.1843e-10
1.8930e+02	3.7680e+00	3.7680e+00	6.0385e-10
1.9640e+02	3.6790e+00	3.6790e+00	5.8958e-10
2.0000e+02	3.6370e+00	3.6370e+00	5.8285e-10
2.0380e+02	3.5940e+00	3.5940e+00	5.7596e-10
2.1150e+02	3.5120e+00	3.5120e+00	5.6282e-10
2.1950e+02	3.4320e+00	3.4320e+00	5.5000e-10
2.2770e+02	3.3550e+00	3.3550e+00	5.3766e-10
2.3630e+02	3.2810e+00	3.2810e+00	5.2580e-10
2.4520e+02	3.2090e+00	3.2090e+00	5.1426e-10
2.5000e+02	3.1730e+00	3.1730e+00	5.0849e-10
2.5450e+02	3.1400e+00	3.1400e+00	5.0321e-10
2.6410e+02	3.0730e+00	3.0730e+00	4.9247e-10
2.7400e+02	3.0090e+00	3.0090e+00	4.8221e-10
2.8430e+02	2.9460e+00	2.9460e+00	4.7212e-10
2.9500e+02	2.8860e+00	2.8860e+00	4.6250e-10
3.0000e+02	2.8600e+00	2.8600e+00	4.5833e-10
3.0620e+02	2.8280e+00	2.8280e+00	4.5321e-10
3.1770e+02	2.7730e+00	2.7730e+00	4.4439e-10
3.2970e+02	2.7190e+00	2.7190e+00	4.3574e-10
3.4210e+02	2.6670e+00	2.6670e+00	4.2740e-10
3.5000e+02	2.6360e+00	2.6360e+00	4.2244e-10
3.5500e+02	2.6170e+00	2.6170e+00	4.1939e-10
3.6840e+02	2.5690e+00	2.5690e+00	4.1170e-10
3.8220e+02	2.5220e+00	2.5220e+00	4.0417e-10
3.9660e+02	2.4780e+00	2.4780e+00	3.9712e-10
4.0000e+02	2.4680e+00	2.4680e+00	3.9551e-10
4.1160e+02	2.4350e+00	2.4350e+00	3.9022e-10
4.2710e+02	2.3940e+00	2.3940e+00	3.8365e-10
4.4320e+02	2.3540e+00	2.3540e+00	3.7724e-10
4.5000e+02	2.3380e+00	2.3380e+00	3.7468e-10
4.5990e+02	2.3160e+00	2.3160e+00	3.7115e-10
4.7720e+02	2.2790e+00	2.2790e+00	3.6522e-10
4.9520e+02	2.2440e+00	2.2440e+00	3.5962e-10
5.0000e+02	2.2350e+00	2.2350e+00	3.5817e-10
5.1390e+02	2.2100e+00	2.2100e+00	3.5417e-10
5.3320e+02	2.1780e+00	2.1780e+00	3.4904e-10
5.5000e+02	2.1520e+00	2.1520e+00	3.4487e-10
5.5330e+02	2.1470e+00	2.1470e+00	3.4407e-10
5.7420e+02	2.1170e+00	2.1170e+00	3.3926e-10
5.9580e+02	2.0890e+00	2.0890e+00	3.3478e-10
6.0000e+02	2.0840e+00	2.0840e+00	3.3397e-10
6.1830e+02	2.0620e+00	2.0620e+00	3.3045e-10
6.4160e+02	2.0360e+00	2.0360e+00	3.2628e-10
6.5000e+02	2.0270e+00	2.0270e+00	3.2484e-10
6.6570e+02	2.0110e+00	2.0110e+00	3.2228e-10
6.9080e+02	1.9870e+00	1.9870e+00	3.1843e-10
7.0000e+02	1.9790e+00	1.9790e+00	3.1715e-10
7.1680e+02	1.9650e+00	1.9650e+00	3.1490e-10
7.4390e+02	1.9430e+00	1.9430e+00	3.1138e-10
7.5000e+02	1.9380e+00	1.9380e+00	3.1058e-10
7.7190e+02	1.9230e+00	1.9230e+00	3.0817e-10
8.0000e+02	1.9040e+00	1.9040e+00	3.0513e-10
8.0100e+02	1.9030e+00	1.9030e+00	3.0497e-10
8.3120e+02	1.8840e+00	1.8840e+00	3.0192e-10
8.5000e+02	1.8740e+00	1.8740e+00	3.0032e-10
8.6250e+02	1.8670e+00	1.8670e+00	2.9920e-10
8.9500e+02	1.8500e+00	1.8500e+00	2.9647e-10
9.0000e+02	1.8480e+00	1.8480e+00	2.9615e-10
9.2870e+02	1.8340e+00	1.8340e+00	2.9391e-10
9.5000e+02	1.8250e+00	1.8250e+00	2.9247e-10
9.6370e+02	1.8190e+00	1.8190e+00	2.9151e-10
1.0000e+03	1.8050e+00	1.8050e+00	2.8926e-10
1.0000e+03	1.8050e+00	1.8050e+00	2.8926e-10
