# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
2.876854e+02 4.209714e+04 1.482112e+05
2.916956e+02 4.037702e+04 1.437101e+05
2.957617e+02 3.872115e+04 1.388985e+05
2.998844e+02 3.716050e+04 1.344461e+05
3.040646e+02 3.564172e+04 1.301442e+05
3.083031e+02 3.418732e+04 1.258889e+05
3.126007e+02 3.278349e+04 1.217563e+05
3.169582e+02 3.145550e+04 1.177596e+05
3.213764e+02 3.016951e+04 1.141458e+05
3.258562e+02 2.894561e+04 1.104578e+05
3.303985e+02 2.780275e+04 1.068892e+05
3.350041e+02 2.668680e+04 1.034360e+05
3.396739e+02 2.554688e+04 1.000945e+05
3.444087e+02 2.458374e+04 9.684454e+04
3.492096e+02 2.364178e+04 9.368375e+04
3.540774e+02 2.266968e+04 9.062629e+04
3.590130e+02 2.175243e+04 8.757699e+04
3.640175e+02 2.088303e+04 8.464610e+04
3.690917e+02 2.004014e+04 8.197296e+04
3.742366e+02 1.924462e+04 7.938656e+04
3.794533e+02 1.846590e+04 7.687549e+04
3.847427e+02 1.772121e+04 7.439966e+04
3.901058e+02 1.701439e+04 7.200387e+04
3.955436e+02 1.634029e+04 6.965672e+04
4.010573e+02 1.571503e+04 6.735893e+04
4.066478e+02 1.507759e+04 6.509844e+04
4.123163e+02 1.446433e+04 6.291397e+04
4.180637e+02 1.387487e+04 6.080295e+04
4.238913e+02 1.330995e+04 5.876291e+04
4.298001e+02 1.276683e+04 5.681461e+04
4.357913e+02 1.225852e+04 5.520767e+04
4.418660e+02 1.176474e+04 5.332983e+04
4.480254e+02 1.129225e+04 5.151453e+04
4.542706e+02 1.082427e+04 4.976113e+04
4.606029e+02 1.040468e+04 4.806751e+04
4.670234e+02 9.984675e+03 4.643164e+04
4.735335e+02 9.578094e+03 4.485693e+04
4.801343e+02 9.182490e+03 4.343381e+04
4.868271e+02 8.803833e+03 4.205596e+04
4.936132e+02 8.444422e+03 4.072192e+04
5.004939e+02 8.098071e+03 3.943031e+04
5.074705e+02 7.770169e+03 3.817976e+04
5.145444e+02 7.452780e+03 3.695216e+04
5.217169e+02 7.166415e+03 3.573955e+04
5.289893e+02 6.871034e+03 3.456683e+04
5.363631e+02 6.587817e+03 3.343270e+04
5.438397e+02 6.316263e+03 3.233587e+04
5.514206e+02 6.054235e+03 3.127511e+04
5.591071e+02 5.801947e+03 3.024925e+04
