Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
1.5650e+02	4.2720e+00	4.2720e+00	6.8462e-10
1.6180e+02	4.1780e+00	4.1780e+00	6.6955e-10
1.6720e+02	4.0860e+00	4.0860e+00	6.5481e-10
1.7280e+02	3.9980e+00	3.9980e+00	6.4071e-10
1.7870e+02	3.9120e+00	3.9120e+00	6.2692e-10
1.8470e+02	3.8280e+00	3.8280e+00	6.1346e-10
1.9090e+02	3.7470e+00	3.7470e+00	6.0048e-10
1.9730e+02	3.6690e+00	3.6690e+00	5.8798e-10
2.0000e+02	3.6370e+00	3.6370e+00	5.8285e-10
2.0400e+02	3.5930e+00	3.5930e+00	5.7580e-10
2.1080e+02	3.5190e+00	3.5190e+00	5.6394e-10
2.1790e+02	3.4470e+00	3.4470e+00	5.5240e-10
2.2530e+02	3.3780e+00	3.3780e+00	5.4135e-10
2.3290e+02	3.3100e+00	3.3100e+00	5.3045e-10
2.4070e+02	3.2450e+00	3.2450e+00	5.2003e-10
2.4880e+02	3.1820e+00	3.1820e+00	5.0994e-10
2.5000e+02	3.1730e+00	3.1730e+00	5.0849e-10
2.5720e+02	3.1210e+00	3.1210e+00	5.0016e-10
2.6580e+02	3.0610e+00	3.0610e+00	4.9054e-10
2.7480e+02	3.0040e+00	3.0040e+00	4.8141e-10
2.8400e+02	2.9480e+00	2.9480e+00	4.7244e-10
2.9360e+02	2.8940e+00	2.8940e+00	4.6378e-10
3.0000e+02	2.8600e+00	2.8600e+00	4.5833e-10
3.0350e+02	2.8420e+00	2.8420e+00	4.5545e-10
3.1370e+02	2.7910e+00	2.7910e+00	4.4728e-10
3.2430e+02	2.7420e+00	2.7420e+00	4.3942e-10
3.3520e+02	2.6950e+00	2.6950e+00	4.3189e-10
3.4650e+02	2.6490e+00	2.6490e+00	4.2452e-10
3.5000e+02	2.6360e+00	2.6360e+00	4.2244e-10
3.5820e+02	2.6050e+00	2.6050e+00	4.1747e-10
3.7020e+02	2.5620e+00	2.5620e+00	4.1058e-10
3.8270e+02	2.5210e+00	2.5210e+00	4.0401e-10
3.9560e+02	2.4810e+00	2.4810e+00	3.9760e-10
4.0000e+02	2.4680e+00	2.4680e+00	3.9551e-10
4.0890e+02	2.4420e+00	2.4420e+00	3.9135e-10
4.2270e+02	2.4050e+00	2.4050e+00	3.8542e-10
4.3690e+02	2.3690e+00	2.3690e+00	3.7965e-10
4.5000e+02	2.3380e+00	2.3380e+00	3.7468e-10
4.5160e+02	2.3340e+00	2.3340e+00	3.7404e-10
4.6680e+02	2.3010e+00	2.3010e+00	3.6875e-10
4.8250e+02	2.2690e+00	2.2690e+00	3.6362e-10
4.9880e+02	2.2370e+00	2.2370e+00	3.5849e-10
5.0000e+02	2.2350e+00	2.2350e+00	3.5817e-10
5.1560e+02	2.2070e+00	2.2070e+00	3.5369e-10
5.3300e+02	2.1790e+00	2.1790e+00	3.4920e-10
5.5000e+02	2.1520e+00	2.1520e+00	3.4487e-10
5.5090e+02	2.1510e+00	2.1510e+00	3.4471e-10
5.6950e+02	2.1240e+00	2.1240e+00	3.4038e-10
5.8860e+02	2.0980e+00	2.0980e+00	3.3622e-10
6.0000e+02	2.0840e+00	2.0840e+00	3.3397e-10
6.0850e+02	2.0730e+00	2.0730e+00	3.3221e-10
6.2900e+02	2.0500e+00	2.0500e+00	3.2853e-10
6.5000e+02	2.0270e+00	2.0270e+00	3.2484e-10
6.5010e+02	2.0270e+00	2.0270e+00	3.2484e-10
6.7200e+02	2.0050e+00	2.0050e+00	3.2131e-10
6.9470e+02	1.9840e+00	1.9840e+00	3.1795e-10
7.0000e+02	1.9790e+00	1.9790e+00	3.1715e-10
7.1810e+02	1.9640e+00	1.9640e+00	3.1474e-10
7.4220e+02	1.9440e+00	1.9440e+00	3.1154e-10
7.5000e+02	1.9380e+00	1.9380e+00	3.1058e-10
7.6720e+02	1.9260e+00	1.9260e+00	3.0865e-10
7.9310e+02	1.9080e+00	1.9080e+00	3.0577e-10
8.0000e+02	1.9040e+00	1.9040e+00	3.0513e-10
8.1980e+02	1.8910e+00	1.8910e+00	3.0304e-10
8.4740e+02	1.8750e+00	1.8750e+00	3.0048e-10
8.5000e+02	1.8740e+00	1.8740e+00	3.0032e-10
8.7590e+02	1.8600e+00	1.8600e+00	2.9808e-10
9.0000e+02	1.8480e+00	1.8480e+00	2.9615e-10
9.0540e+02	1.8450e+00	1.8450e+00	2.9567e-10
9.3590e+02	1.8310e+00	1.8310e+00	2.9343e-10
9.5000e+02	1.8250e+00	1.8250e+00	2.9247e-10
9.6740e+02	1.8180e+00	1.8180e+00	2.9135e-10
1.0000e+03	1.8050e+00	1.8050e+00	2.8926e-10
1.0000e+03	1.8050e+00	1.8050e+00	2.8926e-1
