# Energy(MeV) Phi16_Planare Phi84_Planare
2.242340e+02 1.102273e+03 1.889420e+03
2.273597e+02 1.050825e+03 1.810593e+03
2.305289e+02 1.005190e+03 1.731680e+03
2.337424e+02 9.557034e+02 1.655922e+03
2.370006e+02 9.084817e+02 1.585796e+03
2.403043e+02 8.639022e+02 1.518629e+03
2.436540e+02 8.204501e+02 1.453524e+03
2.470504e+02 7.799887e+02 1.391568e+03
2.504942e+02 7.413030e+02 1.331877e+03
2.539859e+02 7.048518e+02 1.274434e+03
2.575263e+02 6.700908e+02 1.220113e+03
2.611161e+02 6.382060e+02 1.168106e+03
2.647559e+02 6.065274e+02 1.119038e+03
2.684465e+02 5.753172e+02 1.072370e+03
2.721885e+02 5.460068e+02 1.027016e+03
2.759826e+02 5.170778e+02 9.821329e+02
2.798297e+02 4.896200e+02 9.406891e+02
2.837304e+02 4.653719e+02 9.006950e+02
2.876854e+02 4.411523e+02 8.622472e+02
2.916956e+02 4.196480e+02 8.248926e+02
2.957617e+02 3.970032e+02 7.893805e+02
2.998844e+02 3.754952e+02 7.565144e+02
3.040646e+02 3.573524e+02 7.242168e+02
3.083031e+02 3.376692e+02 6.926209e+02
3.126007e+02 3.189773e+02 6.615727e+02
3.169582e+02 3.013733e+02 6.321556e+02
3.213764e+02 2.850038e+02 6.046492e+02
3.258562e+02 2.692118e+02 5.780891e+02
3.303985e+02 2.540963e+02 5.511569e+02
3.350041e+02 2.397570e+02 5.260178e+02
3.396739e+02 2.262622e+02 5.019663e+02
3.444087e+02 2.135392e+02 4.790628e+02
3.492096e+02 2.031092e+02 4.570675e+02
3.540774e+02 1.918400e+02 4.365479e+02
3.590130e+02 1.809206e+02 4.163798e+02
3.640175e+02 1.704677e+02 3.979636e+02
3.690917e+02 1.605682e+02 3.803543e+02
3.742366e+02 1.510879e+02 3.634063e+02
3.794533e+02 1.419809e+02 3.473359e+02
3.847427e+02 1.333739e+02 3.314138e+02
3.901058e+02 1.252422e+02 3.167014e+02
3.955436e+02 1.176052e+02 3.021520e+02
4.010573e+02 1.108245e+02 2.881442e+02
4.066478e+02 1.044065e+02 2.755254e+02
4.123163e+02 9.832839e+01 2.632937e+02
4.180637e+02 9.257382e+01 2.518461e+02
4.238913e+02 8.703595e+01 2.404926e+02
4.298001e+02 8.149664e+01 2.295208e+02
4.357913e+02 7.641393e+01 2.185955e+02
4.418660e+02 7.170372e+01 2.085877e+02
4.480254e+02 6.725887e+01 1.988534e+02
4.542706e+02 6.306581e+01 1.891831e+02
4.606029e+02 5.898310e+01 1.799383e+02
4.670234e+02 5.515793e+01 1.713973e+02
4.735335e+02 5.155865e+01 1.633815e+02
4.801343e+02 4.817321e+01 1.558506e+02
4.868271e+02 4.499018e+01 1.486271e+02
4.936132e+02 4.201608e+01 1.417460e+02
5.004939e+02 3.927479e+01 1.349151e+02
5.074705e+02 3.654816e+01 1.283576e+02
5.145444e+02 3.412417e+01 1.222882e+02
5.217169e+02 3.194677e+01 1.165219e+02
5.289893e+02 2.974892e+01 1.110448e+02
5.363631e+02 2.767562e+01 1.058623e+02
5.438397e+02 2.573394e+01 1.007525e+02
5.514206e+02 2.391636e+01 9.574806e+01
5.591071e+02 2.221573e+01 9.120987e+01
5.669007e+02 2.062527e+01 8.680607e+01
5.748030e+02 1.913856e+01 8.266986e+01
5.828155e+02 1.774951e+01 7.860039e+01
5.909396e+02 1.645474e+01 7.474652e+01
5.991770e+02 1.525190e+01 7.105531e+01
6.075292e+02 1.412923e+01 6.738765e+01
6.159978e+02 1.308894e+01 6.408112e+01
6.245845e+02 1.214087e+01 6.083406e+01
6.332908e+02 1.125714e+01 5.782823e+01
6.421186e+02 1.043765e+01 5.499548e+01
6.510694e+02 9.672588e+00 5.225101e+01
6.601449e+02 8.958687e+00 4.972272e+01
6.693470e+02 8.286490e+00 4.722922e+01
6.786773e+02 7.650363e+00 4.480283e+01
6.881377e+02 7.073773e+00 4.251098e+01
6.977300e+02 6.536886e+00 4.038100e+01
7.074559e+02 6.036141e+00 3.830984e+01
7.173175e+02 5.548478e+00 3.637433e+01
7.273165e+02 5.096743e+00 3.448986e+01
7.374549e+02 4.678555e+00 3.269714e+01
7.477346e+02 4.291674e+00 3.096572e+01
7.581576e+02 3.933992e+00 2.934032e+01
7.687260e+02 3.603526e+00 2.787045e+01
7.794416e+02 3.298412e+00 2.641983e+01
7.903066e+02 3.017536e+00 2.504642e+01
8.013230e+02 2.759993e+00 2.371964e+01
8.124930e+02 2.526000e+00 2.243396e+01
8.238187e+02 2.315656e+00 2.127272e+01
8.353023e+02 2.122835e+00 2.022484e+01
8.469460e+02 1.944717e+00 1.915443e+01
8.587519e+02 1.780286e+00 1.818171e+01
8.707225e+02 1.629315e+00 1.721252e+01
8.828599e+02 1.490157e+00 1.628017e+01
8.951665e+02 1.361894e+00 1.540339e+01
9.076446e+02 1.240473e+00 1.456069e+01
9.202967e+02 1.122401e+00 1.376708e+01
9.331251e+02 1.020776e+00 1.303412e+01
9.461324e+02 9.216275e-01 1.233154e+01
9.593209e+02 8.315252e-01 1.167485e+01
9.726934e+02 7.508993e-01 1.103744e+01
9.862522e+02 6.774610e-01 1.043657e+01
1.000000e+03 6.106290e-01 9.855246e+00
