# Energy(MeV) Fluence_Sferica(4Pi)
6.025343e+02 2.624100e+03
6.102141e+02 2.506381e+03
6.179917e+02 2.393942e+03
6.258686e+02 2.286548e+03
6.338458e+02 2.183971e+03
6.419246e+02 2.085997e+03
6.501065e+02 1.992417e+03
6.583926e+02 1.903035e+03
6.667844e+02 1.817664e+03
6.752831e+02 1.736122e+03
6.838901e+02 1.658238e+03
6.926068e+02 1.583848e+03
7.014347e+02 1.512795e+03
7.103750e+02 1.444930e+03
7.194293e+02 1.380109e+03
7.285991e+02 1.318196e+03
7.378856e+02 1.259061e+03
7.472906e+02 1.202578e+03
7.568154e+02 1.148630e+03
7.664616e+02 1.097101e+03
7.762308e+02 1.047884e+03
7.861245e+02 1.000875e+03
7.961443e+02 9.559750e+02
8.062918e+02 9.130892e+02
8.165687e+02 8.721272e+02
8.269765e+02 8.330029e+02
8.375170e+02 7.956336e+02
8.481918e+02 7.599408e+02
8.590027e+02 7.258492e+02
8.699514e+02 6.932870e+02
8.810396e+02 6.621856e+02
8.922692e+02 6.324794e+02
9.036419e+02 6.041058e+02
9.151595e+02 5.770051e+02
9.268240e+02 5.511202e+02
9.386371e+02 5.263964e+02
9.506008e+02 5.027818e+02
9.627170e+02 4.802266e+02
9.749876e+02 4.586832e+02
9.874146e+02 4.381063e+02
1.000000e+03 4.184525e+02
