# Energy(MeV) Fluence_Total
1.107173e+02 1.216266e+05
1.118204e+02 1.181289e+05
1.129344e+02 1.146059e+05
1.140595e+02 1.111883e+05
1.151959e+02 1.078730e+05
1.163435e+02 1.048535e+05
1.175026e+02 1.017883e+05
1.186733e+02 9.880262e+04
1.198556e+02 9.590442e+04
1.210497e+02 9.303148e+04
1.222556e+02 9.016647e+04
1.234736e+02 8.738948e+04
1.247038e+02 8.469781e+04
1.259462e+02 8.208885e+04
1.272009e+02 7.967203e+04
1.284682e+02 7.726599e+04
1.297481e+02 7.484476e+04
1.310407e+02 7.249859e+04
1.323462e+02 7.036605e+04
1.336648e+02 6.820518e+04
1.349964e+02 6.593835e+04
1.363414e+02 6.390595e+04
1.376997e+02 6.193604e+04
1.390715e+02 6.002669e+04
1.404571e+02 5.817604e+04
1.418564e+02 5.644235e+04
1.432697e+02 5.470079e+04
1.446970e+02 5.299027e+04
1.461386e+02 5.133312e+04
1.475945e+02 4.974222e+04
1.490650e+02 4.828228e+04
1.505501e+02 4.688431e+04
1.520500e+02 4.543591e+04
1.535648e+02 4.403737e+04
1.550947e+02 4.273829e+04
1.566399e+02 4.148352e+04
1.582004e+02 4.027000e+04
1.597765e+02 3.901615e+04
1.613683e+02 3.774872e+04
1.629760e+02 3.652249e+04
1.645997e+02 3.534481e+04
1.662395e+02 3.425196e+04
1.678957e+02 3.317270e+04
1.695684e+02 3.210249e+04
1.712578e+02 3.106674e+04
1.729640e+02 3.006434e+04
1.746872e+02 2.910248e+04
1.764275e+02 2.819602e+04
1.781852e+02 2.731771e+04
1.799604e+02 2.646666e+04
1.817533e+02 2.564203e+04
1.835641e+02 2.484301e+04
1.853929e+02 2.406880e+04
1.872399e+02 2.331863e+04
1.891053e+02 2.259176e+04
1.909893e+02 2.187358e+04
1.928921e+02 2.115887e+04
1.948138e+02 2.046749e+04
1.967547e+02 1.979868e+04
1.987149e+02 1.915169e+04
2.006946e+02 1.852583e+04
2.026941e+02 1.792038e+04
2.047134e+02 1.733470e+04
2.067529e+02 1.674855e+04
2.088128e+02 1.617087e+04
2.108931e+02 1.561305e+04
2.129942e+02 1.507441e+04
2.151162e+02 1.458665e+04
2.172593e+02 1.411829e+04
2.194238e+02 1.366501e+04
2.216098e+02 1.322633e+04
2.238177e+02 1.277210e+04
2.260475e+02 1.232269e+04
2.282995e+02 1.191330e+04
2.305740e+02 1.153768e+04
2.328712e+02 1.117108e+04
2.351912e+02 1.080276e+04
2.375343e+02 1.044654e+04
2.399008e+02 1.010204e+04
2.422909e+02 9.777871e+03
2.447047e+02 9.465020e+03
2.471427e+02 9.162134e+03
2.496049e+02 8.876620e+03
2.520916e+02 8.607360e+03
2.546031e+02 8.348527e+03
2.571397e+02 8.114586e+03
2.597015e+02 7.887166e+03
2.622888e+02 7.675331e+03
2.649019e+02 7.456149e+03
2.675410e+02 7.230895e+03
2.702065e+02 7.008733e+03
2.728985e+02 6.807313e+03
